nquest,nord,SEX,PARENT,ANASC,CIT,ANINGR,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,motiv,annoenus,tipolau,tipodip,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
173,1,1,1,1948,1,,3,5,52,60,2,1968,1,1,,15,4,19,,,,2,18,3,18,1,64,4,6,3,19,5,1,1,1,3,4,2,0.2459498946
375,1,2,1,1925,1,,4,2,,,,,,1,,15,1,7,,,,,16,3,16,1,87,5,6,3,7,5,1,1,1,3,4,2,0.9648799181
629,1,1,1,1939,1,,4,3,,,,,,1,,15,1,3,,,,,5,1,5,2,73,5,6,3,3,5,1,1,2,1,2,1,0.2219845121
629,2,1,7,1969,1,,2,5,50,60,2,1989,2,2,,1,,3,,,,2,5,1,5,2,43,2,1,1,3,2,0,1,2,1,2,1,0.2219845121
632,1,1,1,1950,1,,1,3,,,,,,1,,15,2,15,,,,,5,1,5,3,62,4,6,3,15,5,1,1,2,1,2,1,0.2020580816
632,2,2,2,1952,1,,1,3,,,,,,2,,13,,,,,,,5,1,5,3,60,4,7,3,,5,0,0,2,1,2,1,0.2020580816
632,3,1,6,1983,1,,2,5,50,60,2,2003,1,3,,6,,3,,,,2,5,1,5,3,29,1,4,2,3,2,0,1,2,1,2,1,0.2020580816
633,1,2,1,1934,1,,4,2,,,,,,1,,15,1,1,,,,,5,1,5,1,78,5,6,3,1,5,1,1,1,1,2,1,0.2155264827
923,1,2,1,1932,1,,4,2,,,,,,1,,16,,,,,,,13,3,13,1,80,5,6,3,,5,1,1,1,3,4,2,0.1017798195
1238,1,1,1,1937,1,,4,3,,,,,,1,,15,1,3,,,,,15,3,15,1,75,5,6,3,3,5,1,1,1,3,4,2,0.2584371873
